Sentence,label
If you can interpose a different OutputStream class on the destination file you could use a subtype of OutputStream which converts Strings to bytes under a charset you define say UTF-8 by default,1
If modified UTF-8 is suffcient for your needs you can use <code>DataOutputStreamwriteUTF(String)</code> If this approach is not feasible it may help if you clarify here exactly what you can and ca nt control in terms of data flow and execution environment though I know that s sometimes easier said than determined,1
Two choices 1 / From the project 2 / If you have already other jar imported from the directory `` References Libraries Both will lead you to this screen where you can mange your libraries,1
Just a comment on importing jars into Eclipse plug-in development projects In case you are developing Eclipse plug-ins it makes sense to use Eclipse s native bundling mechanism instead of just importing the jar into a plug-in project,1
Eclipse or better its underlying OSGi runtime Equinox uses so-called bundles which contain some more information than plain jars eg version infos dependencies to other bundles exported packages ; see the MANIFESTMF file,1
Because of this information OSGi bundles can be dynamically loaded/unloaded and there is automatic dependency resolution available in an OSGi/Eclipse runtime,1
Hence using OSGi bundles instead of plain jars contained inside another OSGi bundle has some advantages,1
BTW Eclipse plug-ins are the same thing as OSGi bundles,1
There is a good chance that somebody already bundled a certain 3rd party library as an OSGi bundle,0
You might want to take a look at the following bundle repositories,0
Adding external Jar is not smart in case you want to change the project location in filesystem,1
The best way is to add the jar to build path so your project will compile if exported,1
Eclipse - > Preferences - > Java - > Build Path - > User Libraries - > New Name it - > Add external Jars I recommend dragging your new libraries into the eclipse folder before any of these steps to keep everything together that way if you reinstall Eclipse or your OS you wo nt have to rwlink anything except the JDK Now select the jar files you want,1
Several people pointed out the specific answers for heap size with the jvm options of <code>-Xms</code> and <code>-Xms</code>,0
I want to point out that this is not the only type of memory options for the jvm,0
Specifically if you are get stack over flows then you ll want to increase the size of the stack by adding an additional option like <code>-Xss8m</code>,1
I m sharing this information as my google searches on how to increase jvm memory took me to this solution and the solutions did nt work with high amounts of memory allocation,0
Once I figured out what the specific settings were for I was able to google how to increase the stack size and found the missing param,0
Hope this saves others time as it would of saved me a ton of time,0
One natural way to reverse a <code>String</code> is to use a <code>StringTokenizer</code>Tokenizer and a stack,1
<code>Stack</code> is a class that implements an easy-to-use last-in first-out LIFO stack of objects,1
Put it in the stack frontwards Print the stack backwards,1
It gets the value you typed and returns it reversed ;,0
I am doing this using following two ways Reverse string by CHARACTERS Reverse string by WORDS,0
It is very simple in minimum code of lines,0
public String reverseWords String s,0
I d like to add that it is possible to use relative path as-well,0
So if you re pwd current directory/folder is folder1 and you want to parse folder1/subfolder you simply write in the code above instead of,0
Java 8 <code>Fileswalk()</code> is good when you are soore it will not throw Avoid Java 8 <code>Fileswalk()</code> termination cause of javaniofileAccessDeniedException,1
Just to expand on the accepted answer I store the filenames to an ArrayList instead of just dumping them to Systemoutprintln I created a helper class `` MyFileUtils so it could be imported by other projects I added the full path to the file name,0
You would use it like this The ArrayList is passed by `` value but the value is used to point to the same ArrayList object living in the JVM Heap,0
In this way each recursion call adds filenames to the same ArrayList we are NOT creating a new ArrayList on each recursive call,0
Use reflection http//javasuncom/docs/books/tutorial/reflect/member/methodInvocationhtml Where `` class name is the name of the class objectToInvokeOn is of type Object and is the object you want to invoke the method on `` method name is the name of the method you want to call parameterTypes is of type Class and decalres the parameters the method takes params is of type Object and declares the parameters to be passed to the method,1
This sounds like something that is doable with the Java Reflection package,1
<code>wait</code> and <code>sleep</code> methods are very different Come to think about it the names are confusing in that respect ; however <code>sleep</code> is a standard name and <code>wait</code> is like the <code>WaitForSingleObject</code> or <code>WaitForMultipleObjects</code> in the Win API,1
Wait and sleep are two different things,1
You are correct - Sleep causes that thread to `` sleep and the CPU will go off and process other threads otherwise known as context switching wheras I believe Wait keeps the CPU processing the current thread,1
We have both because although it may seem sensible to let other people use the CPU while you re not using it actualy there is an overhead to context switching - depending on how long the sleep is for it can be more expensive in CPU cycles to switch threads than it is to simply have your thread doing nothing for a few ms Also note that sleep forces a context switch,1
Also - in general it s not possible to control context switching - during the Wait the OS may and will for longer waits choose to process other threads,1
One key difference not yet mentioned is that while sleeping a Thread does not release the locks it holds while waiting releases the lock on the object that <code>wait()</code> is called on,1
I found this link helpful which references this post,0
It puts the difference between <code>sleep()</code> <code>wait()</code> and <code>yield()</code> in human terms,0
in case the links ever go dead I ve included the post below with additional markup,0
source http//wwwjgurucom/faq/viewjsp?EID47127,0
Lets assume you are hearing songs,0
As long as the current song is running the next song wont play ie Sleep called by next song If you finish the song it will stop and until you select play button notify it wont play ie wait called by current song,0
In this both cases songs going to Wait states,0
This is a very simple question because both these methods have a totally different use,1
The major difference is to wait to release the lock or monitor while sleep doesnt release any lock or monitor while waiting,1
Wait is used for inter-thread communication while sleep is used to introduce pause on execution,1
This was just a clear and basic explanation if you want more than that then continue reading,0
In case of <code>wait()</code> method thread goes in waiting state and it wo nt come back automatically until we call the <code>notify()</code> method or <code>notifyAll()</code> if you have more then one thread in waiting state and you want to wake all of those thread,1
And you need synchronized or object lock or class lock to access the <code>wait()</code> or <code>notify()</code> or <code>notifyAll()</code> methods,1
And one more thing the <code>wait()</code> method is used for inter-thread communication because if a thread goes in waiting state you ll need another thread to wake that thread,1
But in case of <code>sleep()</code> this is a method which is used to hold the process for few seconds or the time you wanted,1
Because you dont need to provoke any <code>notify()</code> or <code>notifyAll()</code> method to get that thread back,0
Or you dont need any other thread to call back that thread,0
Like if you want something should happen after few seconds like in a game after user s turn you want the user to wait until the computer plays then you can mention the <code>sleep()</code> method,1
And one more important difference which is asked often in interviews <code>sleep()</code> belongs to <code>Thread</code> class and <code>wait()</code> belongs to <code>Object</code> class,1
These are all the differences between <code>sleep()</code> and <code>wait()</code>,0
And there is a similarity between both methods they both are checked statement so you need try catch or throws to access these methods,0
I hope this will help you,0
There are a lot of answers here but I could nt find the semantic distinction mentioned on any,0
It s not about the thread itself ; both methods are required as they support very different use-cases,0
<code>sleep()</code> sends the Thread to sleep as it was before it just packs the context and stops executing for a predefined time,1
So in order to wake it up before the due time you need to know the Thread reference,0
This is not a common situation in a multi-threaded environment,0
It s mostly used for time-synchronization eg wake in exactly 35 seconds and/or hard-coded fairness just sleep for a while and let others threads work,0
<code>wait()</code> on the contrary is a thread or message synchronization mechanism that allows you to notify a Thread of which you have no stored reference nor care,1
You can think of it as a publish-subscribe pattern <code>wait</code> subscribe and <code>notify()</code> publish,1
Basically using <code>sleep()</code> you are sending a message that might even not be received at all and normally you dont care,1
They could be implemented in the same manner in the underlying OS or not at all as previous versions of Java had no real multithreading ; probably some small VMs doesnt do that either,0
dont forget Java runs on a VM so your code will be transformed in something different according to the VM/OS/HW it runs on,0
The methods are used for different things,0
You can specify in your IDE,0
eg for eclipse in Run Configuration > Vm Arguments you enter - Xmx800m - Xms500m,1
You can use <code>DoubleparseDouble()</code> to convert a <code>String</code> to a <code>double</code> For your case it looks like you want,1
This should convert the string aString into the double d,0
Use <code>new BigDecimal(string)</code>,1
This will guarantee proper calculation later,0
As a rule of thumb - always use <code>BigDecimal</code> for sensitive calculations like money,1
Integer class has static method toString - you can use it,1
One that I use often Point is there are plenty of ways to do this all equally valid,0
As to which is most optimum/efficient you d have to ask someone else,0
The way I know how to convert an integer into a string is by using the following code and If you had an integer i and a string s then the following would apply If you wanted to convert a string `` s into an integer `` i then the following would work,0
This is the method which i used to convert the integer to stringCorrect me if i did wrong,0
Always use either <code>StringvalueOf(number)</code> or <code>IntegertoString(number)</code>,1
Using + number is an overhead and does the following,0
<code>IntegertoString</code> calls the static method in the class <code>Integer</code>,0
It does not need an instance of <code>Integer</code>,0
If you call new <code>new Integer(i)</code> i you create an instance of type <code>Integer</code> which is a full Java object encapsulating the value of your <code>toString</code>,0
Then you call the <code>int</code> method on it to ask it to return a string representation of itself,0
Summary is in first case it returns the objects string representation where as in second case it returns the string representation of integer,0
In terms of performance measurement if you are considering the time performance then the IntegertoString i ; is expensive if you are calling less than 100 million times,1
Else if it is more than 100 million calls then the new Integer 10,0
toString will perform better,1
Below is the code through u can try to measure the performance In terms of memory the will take more memory as it will create the object each time so memory fragmentation will happen,0
I also highly reccomend using <code>int integer 42; String string integer + ;</code> Simple and effective,1
Difference between HashMap and HashTable / HashMap vs HashTable,0
Synchronization or Thread Safe Hash Map is not synchronized hence it is not thred safe and it can not be shared between multiple threads without proper synchronized block whereas Hashtable is synchronized and hence it is thread safe,1
Null keys and null values HashMap allows one null key and any number of null valuesHashtable does not allow null keys or values,1
Iterating the values Iterator in the HashMap is a fail-fast iterator while the enumerator for the Hashtable is not and throw ConcurrentModificationException if any other Thread modifies the map structurally by adding or removing any element except Iterator s own remove method,1
Superclass and Legacy HashMap is subclass of AbstractMap class whereas Hashtable is subclass of Dictionary class,0
Performance As HashMap is not synchronized it is faster as compared to Hashtable,1
Refer http//modernpathshalacom/Article/1020/difference-between-hashmap-and-hashtable-in-java for examples and interview questions and quiz related to Java collection,0
Apart from the differences already mentioned it should be noted that since Java 8 <code>HashMap</code> dynamically replaces the Nodes linked list used in each bucket with TreeNodes red-black tree so that even if high hash collisions exist the worst case when searching is O log n for <code>HashMap</code> Vs O n in <code>Hashtable</code>,1
* The aforementioned improvement has not been applied to <code>Hashtable</code> yet but only to <code>HashMap</code> Linked<code>LinkedHashMap</code> and Concurrent<code>ConcurrentHashMap</code>,0
Differences between HashMap and Hashtable in Java 1 Thread Safe 2 Inherited From 3 Null Keys And Null Values 4 Traversal 5 Fail-Fast Vs Fail-Safe 6 Performance 7 Legacy Class 8 Member Of Java Collection Framework Which is more efficient for non-threaded applications ?,1
There is many good answer already posted,0
I m adding few new points and summarizing it,0
<code>HashMap</code> and <code>Hashtable</code> both are used to store data in key and value form,1
Both are using hashing technique to store unique keys,1
But there are many differences between <code>HashMap</code> and <code>HashMap</code> classes that are given below,0
<code>HashMap</code> 1 <code>HashMap</code> is non synchronized,0
It is not-thread safe and ca nt be shared between many threads without proper synchronization code,1
2 <code>HashMap</code> allows one null key and multiple null values,1
3 <code>Map m CollectionssynchronizedMap(HashMap);</code> is a new class introduced in JDK 12,0
4 <code>HashMap</code> is fast,1
5 We can make the <code>HashMap</code> as synchronized by calling this code Map m CollectionssynchronizedMap <code>HashMap</code> ; 6 <code>Hashtable</code> is traversed by Iterator,1
7 Iterator in <code>Hashtable</code> is fail-fast,1
8 <code>Hashtable</code> inherits AbstractMap class,0
<code>Hashtable</code> 1 <code>Hashtable</code> is synchronized,1
It is thread-safe and can be shared with many threads,0
2 <code>Hashtable</code> doesnt allow any null key or value,1
3 <code>Hashtable</code> is a legacy class,1
4 <code>Hashtable</code> is slow,1
If you use the first answer Google takes you here change the comparator to add an equal clause otherwise you can not get values from the sorted_map by keys,0
Create customized comparator and use it while creating new TreeMap object,0
Use the below code in your main func Output,0
You can try Guava s multimaps As a result you get a map from original values to collections of keys that correspond to them,1
This approach can be used even if there are multiple keys for the same value,0
as map is unordered to sort it we can do following You should note that unlike a hash map a tree map guarantees that its elements will be sorted in ascending key order,1
To accomplish this with the new features in Java 8 The entries are ordered by their values using the given comparator,0
Alternatively if your values are mutually comparable no explicit comparator is needed The returned list is a snapshot of the given map at the time this method is called so neither will reflect subsequent changes to the other,0
For a live iterable view of the map The returned iterable creates a fresh snapshot of the given map each time it s iterated so barring concurrent modification it will always reflect the current state of the map,0
With Java 8 you can use the streams api to do it in a significantly less verbose way,1
I ve merged the solutions of user157196 and Carter Page,0
Java 8 offers a new answer convert the entries into a stream and use the comparator combinators from MapEntry This will let you consume the entries sorted in ascending order of value,1
If you want descending value simply reverse the comparator If the values are not comparable you can pass an explicit comparator You can then proceed to use other stream operations to consume the data,0
For example if you want the top 10 in a new map Or print to <code>Systemout</code>,0
Best Approach Output,0
If there s not any value bigger than the size of the map you could use arrays this should be the fastest approach,1
There are a lot of answers for this question already but none provided me what I was looking for a map implementation that returns keys and entries sorted by the associated value and maintains this property as keys and values are modified in the map,0
Two other questions ask for this specifically,0
I cooked up a generic friendly example that solves this use case,0
This implementation does not honor all of the contracts of the Map interface such as reflecting value changes and removals in the sets return from keySet and entrySet in the original object,0
I felt such a solution would be too large to include in a Stack Overflow answer,0
If I manage to create a more complete implementation perhaps I will post it to Github and then to it link in an updated version of this answer,0
My solution is a quite simple approach in the way of using mostly given APIs,0
We use the feature of Map to export its content as Set via entrySet method,0
We now have a Set containing MapEntry objects,0
Okay a Set does not carry an order but we can take the content an put it into an ArrayList,0
It now has an random order but we will sort it anyway,0
As ArrayList is a Collection we now use the Collectionssort method to bring order to chaos,0
Because our MapEntry objects do not realize the kind of comparison we need we provide a custom Comparator,1
Here is the code by Java 8 with AbacusUtil Declaration ： I m the developer of AbacusUtil,0
Hashtable is synchronized whereas HashMap is nt,1
That makes Hashtable slower than Hashmap,0
For non-threaded apps use HashMap since they are otherwise the same in terms of functionality,1
In addition to what izb said <code>HashMap</code> allows null values whereas the <code>Hashtable</code> does not,1
Also note that <code>Hashtable</code> extends the <code>Dictionary</code> class which as the Javadocs state is obsolete and has been replaced by the <code>Map</code> interface,1
There are several differences between <code>HashMap</code> and Hashtable in Java Since synchronization is not an issue for you I d recommend <code>ConcurrentHashMap</code>,1
<code>HashMap</code> An implementation of the <code>Map</code> interface that uses hash codes to index an array,0
<code>Hashtable</code> Hi 1998 called,0
They want their collections API back,0
Seriously though you re better off staying away from <code>Hashtable</code> altogether,0
For single-threaded apps you dont need the extra overhead of syncrhonisation,1
For highly concurrent apps the paranoid synchronisation might lead to starvation deadlocks or unnecessary garbage collection pauses,1
Like Tim Howland pointed out you might use Concurrent<code>ConcurrentHashMap</code> instead,1
Note that a lot of the answers state that Hashtable is synchronised,0
In practice this buys you very little,0
The synchronization is on the accessor / mutator methods will stop two threads adding or removing from the map concurrently but in the real world you will often need additional synchronisation,0
A very common idiom is to `` check then put - ie look for an entry in the Map and add it if it does not already exist,0
This is not in any way an atomic operation whether you use Hashtable or HashMap,0
An equivalently synchronised HashMap can be obtained by But to correctly implement this logic you need additional synchronisation of the form Even iterating over a Hashtable s entries or a HashMap obtained by CollectionssynchronizedMap is not thread safe unless you also guard the Map from being modified through additional synchronization,1
Implementations of the ConcurrentMap interface for example ConcurrentHashMap solve some of this by including thread safe check-then-act semantics such as,0
Another key difference between hashtable and hashmap is that Iterator in the HashMap is fail-fast while the enumerator for the Hashtable is not and throw ConcurrentModificationException if any other Thread modifies the map structurally by adding or removing any element except Iterator s own remove method,1
But this is not a guaranteed behavior and will be done by JVM on best effort,0
My source http//javarevisitedblogspotcom/2010/10/difference-between-hashmap-andhtml,0
This question is often asked in interview to check whether candidate understands correct usage of collection classes and is aware of alternative solutions available,0
Note on Some Important Terms HashMap can be synchronized by <code>Map m CollectionssynchronizeMap(hashMap);</code> Map provides Collection views instead of direct support for iteration via Enumeration objects,0
Collection views greatly enhance the expressiveness of the interface as discussed later in this section,0
Map allows you to iterate over keys values or key-value pairs ; Hashtable does not provide the third option,1
Map provides a safe way to remove entries in the midst of iteration ; Hashtable did not,1
Finally Map fixes a minor deficiency in the Hashtable interface,0
Hashtable has a method called contains which returns true if the Hashtable contains a given value,0
Given its name you d expect this method to return true if the Hashtable contained a given key because the key is the primary access mechanism for a Hashtable,0
The Map interface eliminates this source of confusion by renaming the method containsValue,0
Also this improves the interface s consistency -- containsValue parallels containsKey,0
Beside all the other important aspects already mentioned here Collections API eg Map interface is being modified all the time to conform to the `` latest and greatest additions to Java spec,0
For example compare Java 5 Map iterating versus the old Hashtable approach In Java 18 we are also promised to be able to construct and access HashMaps like in good old scripting languages Update No they wo nt land in 18 Are Project Coin s collection enhancements going to be in JDK8 ?,0
Take a look at this chart,0
It provides comparisons between different data structures along with HashMap and Hashtable,0
The comparison is precise clear and easy to understand,0
Java Collection Matrix,0
<code>HashMap</code> and <code>Hashtable</code> have significant algorithmic differences as well,0
No one has mentioned this before so that s why I am bringing it up,0
<code>HashMap</code> will construct a hash table with power of two size increase it dynamically such that you have at most about eight elements collisions in any bucket and will stir the elements very well for general element types,1
1 Hashtable is synchronized whereas hashmap is not,1
2 Another difference is that iterator in the HashMap is fail-safe while the enumerator for the Hashtable is nt,1
If you change the map while iterating you ll know,0
3 HashMap permits null values in it while Hashtable doesnt,1
HashMap - It is a class available inside javautil package and it is used to store the element in key and value format,0
Hashtable - It is a legacy class which is being recognized inside collection framework,0
There are 5 basic differentiations with HashTable and HashMaps,0
My small contribution,0
Keep in mind that <code>HashTable</code> was legacy class before Java Collections Framework JCF was introduced and was later retrofitted to implement the <code>Map</code> interface,0
So was <code>Vector</code> and <code>Stack</code>,0
Therefore always stay away from them in new code since there always better alternative in the JCF as others had pointed out,1
Here is the Java collection cheat sheet that you will find useful,0
HashMap and HashTable 1 Hashtable and Hashmap implement the javautilMap interface 2 Both Hashmap and Hashtable is the hash based collection,0
and working on hashing,0
so these are similarity of HashMap and HashTable,0
1 First difference is HashMap is not thread safe While HashTable is ThreadSafe 2 HashMap is performance wise better because it is not thread safe,1
while Hashtable performance wise is not better because it is thread safe,1
so multiple thread can not access Hashtable at the same time,0
Old and classic topic just want to add this helpful blog that explains this http//blogmanishchhabracom/2012/08/the-5-main-differences-betwen-hashmap-and-hashtable/ Blog by Manish Chhabra,0
The example So change the map into a set this way You will create class <code>Results</code> and the Comparator class This way you can easily add more dependencies,0
And as the last point I ll add simple iterator,0
Three 1-line answers I would use Google Collections Guava to do this - if your values are <code>Comparable</code> then you can use Which will create a function object for the map that takes any of the keys as input returning the respective value and then apply natural <code>Ordering</code> ordering to them the values,1
If they re not <code>Comparator</code> then you ll need to do something along the lines of These may be applied to a TreeMap as <code>Comparable</code> extends <code>comparable</code> or a LinkedHashMap after some sorting NB If you are going to use a TreeMap remember that if a comparison 0 then the item is already in the list which will happen if you have multiple values that compare the same,0
To alleviate this you could add your key to the comparator like so presuming that your keys and values are <code>hashCode</code> Apply natural ordering to the value mapped by the key and compound that with the natural ordering of the key Note that this will still not work if your keys compare to 0 but this should be sufficient for most <code>equals</code> items as <code>compareTo</code> <code>TreeMapget()</code> and <code>compare()</code> are often in sync See <code>compare()</code>,0
onResultOf and FunctionsforMap,0
So now that we ve got a comparator that does what we want we need to get a result from it,0
Now this will most likely work work but Point 1 is a bit of a deal-breaker for me ; google collections is incredibly lazy which is good you can do pretty much every operation in an instant ; the real work is done when you start using the result and this requires copying a whole map !,0
dont worry though ; if you were obsessed enough with having a `` live map sorted in this manner you could solve not one but both !,0
But before that we check the hash map to see that the key is not actually a duplicate,0
Also the comparator that we create will also include the key so that duplicate values dont delete the non-duplicate keys due to comparison,0
These 2 items are vital for ensuring the map contract is kept ; if you think you dont want that then you re almost at the point of reversing the map entirely to Map < V K >,0
The constructor would need to be called as,0
Here is an OO solution ie doesnt use <code>static</code> methods Hereby donated to the public domain,0
This is a variation of Anthony s answer which doesnt work if there are duplicate values Note that it s rather up in the air how to handle nulls,0
One important advantage of this approach is that it actually returns a Map unlike some of the other solutions offered here,0
Please try here,0
I am modifing the code for value sort,0
Afaik the most cleaner way is utilizing collections to sort map on value,1
Use a generic comparator such as,0
The answer voted for the most does not work when you have 2 items that equals,0
the TreeMap leaves equal values out,0
the exmaple unsorted map results So leaves out E! !,0
For me it worked fine to adjust the comparator if it equals do not return 0 but -1,0
in the example now it returns unsorted map results as a response to Aliens 2011 nov 22 I Am using this solution for a map of Integer Id s and names but the idea is the same so might be the code above is not correct I will write it in a test and give you the correct code this is the code for a Map sorting based on the solution above and this is the test class I just tested it and this works for the Integer String Map here is the code for the Comparator of a Map and this is the testcase for this of cource you can make this a lot more generic but I just needed it for 1 case the Map,1
This method will just serve the purpose,1
the ` setback is that the Values must implement the javautilComparable interface http//javawithswarangablogspotcom/2011/06/generic-method-to-sort-hashmaphtml,1
Since TreeMap < > does not work for values that can be equal I used this You might want to put list in a LinkedHashMap but if you re only going to iterate over it right away that s superfluous,1
Some simple changes in order to have a sorted map with pairs that have duplicate values,0
In the compare method class ValueComparator when values are equal do not return 0 but return the result of comparing the 2 keys,0
Keys are distinct in a map so you succeed to keep duplicate values which are sorted by keys by the way,0
So the above example could be modified like this,0
If you have duplicate keys and only a small set of data < 1000 and your code is not performance critical you can just do the following inputUnsortedMap is the input to the code,0
The variable sortedOutputMap will contain the data in decending order when iterated over,0
To change order just change > to a < in the if statement,0
Is not the fastest sort but does the job without any additional dependencies,0
For sure the solution of Stephen is really great but for those who ca nt use Guava Here s my solution for sorting by value a map,0
This solution handle the case where there are twice the same value etc,0
The exec http//wwwideonecom/dq3Lu The output Hope it will help some folks,0
Instead of using <code>Collectionssort</code> as some do I d suggest using <code>Arrayssort</code>,1
Actually what <code>Collectionssort</code> does is something like this It just calls <code>toArray</code> on the list and then uses <code>Arrayssort</code>,0
This way all the map entries will be copied three times once from the map to the temporary list be it a LinkedList or ArrayList then to the temporary array and finally to the new map,0
My solution ommits this one step as it does not create unnecessary LinkedList,0
Here is the code generic-friendly and performance-optimal,0
We simply sort a map just like this,0
While I agree that the constant need to sort a map is probably a smell I think the following code is the easiest way to do it without using a different data structure -RCB-,0
And here is an embarrassingly incomplete unit test -RCB- The result is a sorted list of MapEntry objects from which you can obtain the keys and values,0
Based on @devinmoore code a map sorting methods using generics and supporting both ascending and descending ordering,0
This code can break in multiple ways,0
If you intend to use the code provided be sure to read the comments as well to be aware of the implications,0
For example values can no longer be retrieved by their key,0
<code>get</code> always returns <code>null</code>,0
It seems much easier than all of the foregoing,0
Use a TreeMap as follows Output,0
I ve looked at the given answers but a lot of them are more complicated than needed or remove map elements when several keys have same value,0
Here is a solution that I think fits better Note that the map is sorted from the highest value to the lowest,1
Here s a generic-friendly version you re free to use And an associated JUnit4 test so you dont have to take my word for it Java 7 Version Java 8 Version,0
This will sort according to the value in ascending order ; for descending order it is just possible to uncomment the call to <code>CollectionsreverseOrder()</code>,0
This is just too complicated,0
Maps were not supposed to do such job as sorting them by Value,0
The easiest way is to create your own Class so it fits your requirement,0
In example lower you are supposed to add TreeMap a comparator at place where * is,0
But by java API it gives comparator only keys not values,0
All of examples stated here is based on 2 Maps,0
One Hash and one new Tree,0
First of all you need to understand the correct way to launch a program using the <code>java</code> or <code>javaw</code>w command,0
The normal syntax 1 is this where <option> is a command line option starting with a - character <class-name> is a fully qualified Java class name and <argument> is an arbitrary command line argument that gets passed to your application,0
1 - There is a second syntax for `` executable JAR files which I will describe at the bottom,0
The fully qualified classname is conventionally written as you would in Java source code ; eg,0
However some versions of the <code><option></code> command allow you to use slashes instead of periods ; eg which confusingly looks like a file pathname but is nt one,0
Note that the term fully qualified classname is standard Java terminology not something I just made up to confuse you - Here is an example of what a <code><class-name></code> command should look like The above is going to cause the <code><argument></code> command to do the following When you get the message `` Could not find or load main class that means that the first step has failed,0
The <code>java</code> command was not able to find the class,0
And indeed the in the message will be the fully qualified class name that <code>java</code> is looking for,0
So why might it be unable to find the class ?,0
The first likely cause is that you may have provided the wrong class name,0
Or the right class name but in the wrong form,0
